x_mm,z_mm,initial_top_y_mm,u2_mm,full_thickness_mm,full_thickness_um
61.0,0.0,0.0825,-0.011674102,0.14165180921554565,141.65180921554565
61.5,0.0,0.0825,-0.011674654,0.1416507065296173,141.6507065296173
62.0,0.0,0.0825,-0.011675207,0.14164958894252777,141.64958894252777
62.5,0.0,0.0825,-0.0116757685,0.14164847135543823,141.64847135543823
63.0,0.0,0.0825,-0.01167634,0.1416473239660263,141.6473239660263
63.5,0.0,0.0825,-0.011676911,0.14164617657661438,141.64617657661438
64.0,0.0,0.0825,-0.011677483,0.14164504408836365,141.64504408836365
64.5,0.0,0.0825,-0.011678064,0.14164388179779053,141.64388179779053
65.0,0.0,0.0825,-0.011678645,0.1416427195072174,141.6427195072174
65.5,0.0,0.0825,-0.011679236,0.1416415274143219,141.6415274143219
66.0,0.0,0.0825,-0.011679826,0.14164035022258759,141.64035022258759
66.5,0.0,0.0825,-0.011680426,0.14163915812969208,141.63915812969208
67.0,0.0,0.0825,-0.011681027,0.14163795113563538,141.63795113563538
67.5,0.0,0.0825,-0.011681636,0.14163672924041748,141.63672924041748
68.0,0.0,0.0825,-0.011682246,0.14163550734519958,141.63550734519958
68.5,0.0,0.0825,-0.011682855,0.14163430035114288,141.63430035114288
69.0,0.0,0.0825,-0.011683474,0.1416330635547638,141.6330635547638
69.5,0.0,0.0825,-0.011684103,0.14163179695606232,141.63179695606232
70.0,0.0,0.0825,-0.011684732,0.14163054525852203,141.63054525852203
70.5,0.0,0.0825,-0.01168537,0.14162926375865936,141.62926375865936
71.0,0.0,0.0825,-0.011686008,0.14162799715995789,141.62799715995789
71.5,0.0,0.0825,-0.011686646,0.14162671566009521,141.62671566009521
72.0,0.0,0.0825,-0.011687295,0.14162541925907135,141.62541925907135
72.5,0.0,0.0825,-0.011687942,0.14162412285804749,141.62412285804749
73.0,0.0,0.0825,-0.011688599,0.14162281155586243,141.62281155586243
73.5,0.0,0.0825,-0.011689266,0.14162147045135498,141.62147045135498
74.0,0.0,0.0825,-0.011689924,0.14162015914916992,141.62015914916992
74.5,0.0,0.0825,-0.0116906,0.14161880314350128,141.61880314350128
75.0,0.0,0.0825,-0.011691267,0.14161747694015503,141.61747694015503
75.5,0.0,0.0825,-0.011691953,0.1416161060333252,141.6161060333252
76.0,0.0,0.0825,-0.011692628,0.14161475002765656,141.61475002765656
76.5,0.0,0.0825,-0.011693325,0.14161336421966553,141.61336421966553
77.0,0.0,0.0825,-0.0116940085,0.1416119933128357,141.6119933128357
77.5,0.0,0.0825,-0.011694707,0.14161059260368347,141.61059260368347
78.0,0.0,0.0825,-0.011695408,0.14160919189453125,141.60919189453125
78.5,0.0,0.0825,-0.011696117,0.14160777628421783,141.60777628421783
79.0,0.0,0.0825,-0.011696827,0.14160636067390442,141.60636067390442
79.5,0.0,0.0825,-0.0116975475,0.14160491526126862,141.60491526126862
80.0,0.0,0.0825,-0.011698253,0.1416034996509552,141.6034996509552
80.5,0.0,0.0825,-0.011698986,0.1416020393371582,141.6020393371582
81.0,0.0,0.0825,-0.011699707,0.1416005939245224,141.6005939245224
81.5,0.0,0.0825,-0.011700455,0.14159908890724182,141.59908890724182
82.0,0.0,0.0825,-0.011701168,0.1415976732969284,141.5976732969284
82.5,0.0,0.0825,-0.011701932,0.14159613847732544,141.59613847732544
83.0,0.0,0.0825,-0.011702642,0.14159472286701202,141.59472286701202
83.5,0.0,0.0825,-0.011703422,0.14159315824508667,141.59315824508667
84.0,0.0,0.0825,-0.011704123,0.14159175753593445,141.59175753593445
84.5,0.0,0.0825,-0.011704919,0.1415901631116867,141.5901631116867
85.0,0.0,0.0825,-0.011705614,0.14158877730369568,141.58877730369568
85.5,0.0,0.0825,-0.011706408,0.14158719778060913,141.58719778060913
86.0,0.0,0.0825,-0.011707112,0.14158578217029572,141.58578217029572
86.5,0.0,0.0825,-0.011707927,0.14158415794372559,141.5841579437256
87.0,0.0,0.0825,-0.011708656,0.1415826976299286,141.5826976299286
87.5,0.0,0.0825,-0.011709475,0.14158105850219727,141.58105850219727
88.0,0.0,0.0825,-0.011710232,0.1415795385837555,141.5795385837555
88.5,0.0,0.0825,-0.011711044,0.14157791435718536,141.57791435718536
89.0,0.0,0.0825,-0.011711824,0.1415763646364212,141.5763646364212
89.5,0.0,0.0825,-0.011712648,0.1415747106075287,141.5747106075287
90.0,0.0,0.0825,-0.011713444,0.14157311618328094,141.57311618328094
90.5,0.0,0.0825,-0.011714264,0.14157147705554962,141.57147705554962
91.0,0.0,0.0825,-0.011715075,0.1415698528289795,141.5698528289795
91.5,0.0,0.0825,-0.0117159,0.14156821370124817,141.56821370124817
92.0,0.0,0.0825,-0.011716723,0.14156655967235565,141.56655967235565
92.5,0.0,0.0825,-0.011717565,0.14156487584114075,141.56487584114075
93.0,0.0,0.0825,-0.011718391,0.14156322181224823,141.56322181224823
93.5,0.0,0.0825,-0.011719241,0.14156152307987213,141.56152307987213
94.0,0.0,0.0825,-0.011720078,0.14155985414981842,141.55985414981842
94.5,0.0,0.0825,-0.011720936,0.14155814051628113,141.55814051628113
95.0,0.0,0.0825,-0.011721783,0.14155644178390503,141.55644178390503
95.5,0.0,0.0825,-0.01172265,0.14155471324920654,141.55471324920654
96.0,0.0,0.0825,-0.011723507,0.14155298471450806,141.55298471450806
96.5,0.0,0.0825,-0.011724374,0.14155125617980957,141.55125617980957
97.0,0.0,0.0825,-0.011725251,0.1415494978427887,141.5494978427887
97.5,0.0,0.0825,-0.011726127,0.14154775440692902,141.54775440692902
98.0,0.0,0.0825,-0.011727014,0.14154598116874695,141.54598116874695
98.5,0.0,0.0825,-0.011727899,0.14154420793056488,141.54420793056488
99.0,0.0,0.0825,-0.011728785,0.1415424346923828,141.5424346923828
99.5,0.0,0.0825,-0.01172968,0.14154064655303955,141.54064655303955
100.0,0.0,0.0825,-0.011730576,0.1415388584136963,141.5388584136963
100.5,0.0,0.0825,-0.01173148,0.14153704047203064,141.53704047203064
101.0,0.0,0.0825,-0.011732396,0.141535222530365,141.535222530365
101.5,0.0,0.0825,-0.011733309,0.14153338968753815,141.53338968753815
102.0,0.0,0.0825,-0.011734224,0.1415315568447113,141.5315568447113
102.5,0.0,0.0825,-0.011735148,0.14152970910072327,141.52970910072327
103.0,0.0,0.0825,-0.011736073,0.14152786135673523,141.52786135673523
103.5,0.0,0.0825,-0.011737006,0.141525998711586,141.525998711586
104.0,0.0,0.0825,-0.011737939,0.14152413606643677,141.52413606643677
104.5,0.0,0.0825,-0.011738882,0.14152224361896515,141.52224361896515
105.0,0.0,0.0825,-0.011739826,0.14152035117149353,141.52035117149353
105.5,0.0,0.0825,-0.011740778,0.14151844382286072,141.51844382286072
106.0,0.0,0.0825,-0.011741731,0.1415165364742279,141.5165364742279
106.5,0.0,0.0825,-0.011742682,0.1415146440267563,141.5146440267563
107.0,0.0,0.0825,-0.011743645,0.14151272177696228,141.51272177696228
107.5,0.0,0.0825,-0.011744617,0.1415107697248459,141.5107697248459
108.0,0.0,0.0825,-0.011745589,0.14150883257389069,141.5088325738907
108.5,0.0,0.0825,-0.011746559,0.1415068805217743,141.5068805217743
109.0,0.0,0.0825,-0.011747541,0.1415049284696579,141.5049284696579
109.5,0.0,0.0825,-0.011748531,0.14150294661521912,141.50294661521912
110.0,0.0,0.0825,-0.011749523,0.14150096476078033,141.50096476078033
110.5,0.0,0.0825,-0.011750513,0.14149898290634155,141.49898290634155
111.0,0.0,0.0825,-0.011751514,0.14149698615074158,141.49698615074158
111.5,0.0,0.0825,-0.011752513,0.1414949744939804,141.4949744939804
112.0,0.0,0.0825,-0.011753524,0.14149296283721924,141.49296283721924
112.5,0.0,0.0825,-0.011754532,0.14149093627929688,141.49093627929688
113.0,0.0,0.0825,-0.011755552,0.1414889097213745,141.4889097213745
113.5,0.0,0.0825,-0.011756571,0.14148686826229095,141.48686826229095
114.0,0.0,0.0825,-0.0117576,0.1414848119020462,141.4848119020462
114.5,0.0,0.0825,-0.011758628,0.14148275554180145,141.48275554180145
115.0,0.0,0.0825,-0.011759668,0.14148066937923431,141.4806693792343
115.5,0.0,0.0825,-0.011760705,0.14147859811782837,141.47859811782837
116.0,0.0,0.0825,-0.011761744,0.14147651195526123,141.47651195526123
116.5,0.0,0.0825,-0.011762791,0.1414744257926941,141.4744257926941
117.0,0.0,0.0825,-0.011763848,0.14147230982780457,141.47230982780457
117.5,0.0,0.0825,-0.011764905,0.14147019386291504,141.47019386291504
118.0,0.0,0.0825,-0.011765963,0.1414680778980255,141.4680778980255
118.5,0.0,0.0825,-0.01176703,0.1414659470319748,141.4659470319748
119.0,0.0,0.0825,-0.011768106,0.14146378636360168,141.46378636360168
119.5,0.0,0.0825,-0.011769183,0.14146164059638977,141.46164059638977
120.0,0.0,0.0825,-0.01177026,0.14145949482917786,141.45949482917786
120.5,0.0,0.0825,-0.011771345,0.14145731925964355,141.45731925964355
121.0,0.0,0.0825,-0.011772431,0.14145514369010925,141.45514369010925
121.5,0.0,0.0825,-0.011773526,0.14145295321941376,141.45295321941376
122.0,0.0,0.0825,-0.011774623,0.14145076274871826,141.45076274871826
122.5,0.0,0.0825,-0.011775726,0.14144855737686157,141.44855737686157
123.0,0.0,0.0825,-0.011776832,0.1414463371038437,141.4463371038437
123.5,0.0,0.0825,-0.011777946,0.1414441168308258,141.4441168308258
124.0,0.0,0.0825,-0.0117790615,0.14144188165664673,141.44188165664673
124.5,0.0,0.0825,-0.011780185,0.14143963158130646,141.43963158130646
125.0,0.0,0.0825,-0.011781309,0.1414373815059662,141.4373815059662
125.5,0.0,0.0825,-0.011782433,0.1414351463317871,141.4351463317871
126.0,0.0,0.0825,-0.011783576,0.14143285155296326,141.43285155296326
126.5,0.0,0.0825,-0.011784709,0.1414305865764618,141.4305865764618
127.0,0.0,0.0825,-0.011785853,0.14142830669879913,141.42830669879913
127.5,0.0,0.0825,-0.011787005,0.1414259970188141,141.4259970188141
128.0,0.0,0.0825,-0.011788148,0.14142370223999023,141.42370223999023
128.5,0.0,0.0825,-0.01178931,0.1414213925600052,141.4213925600052
129.0,0.0,0.0825,-0.011790472,0.14141906797885895,141.41906797885895
129.5,0.0,0.0825,-0.011791634,0.1414167433977127,141.4167433977127
130.0,0.0,0.0825,-0.011792806,0.14141438901424408,141.41438901424408
130.5,0.0,0.0825,-0.011793978,0.14141204953193665,141.41204953193665
