initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-31.25,-25.0,-31.229633331298828,150.00002781549833,149.9999612569809,0.0
-31.25,-20.0,-31.22962760925293,149.99999677141503,149.9999314546585,0.0
-31.25,-15.0,-31.229625701904297,149.99998435377992,149.99991655349731,0.0
-31.25,-10.0,-31.22962188720703,149.99998435377992,149.99991655349731,0.0
-31.25,-5.0,-31.2296199798584,149.9999719361438,149.99990165233612,0.0
-31.25,0.0,-31.229629516601562,149.9999719361438,149.99990165233612,0.0
-31.25,5.0,-31.2296199798584,149.99995330968767,149.99988675117493,0.0
-31.25,10.0,-31.22962188720703,149.99994089204895,149.99987185001373,0.0
-31.25,15.0,-31.229623794555664,149.9999719361438,149.99990165233612,0.0
-31.25,20.0,-31.229623794555664,149.99994089204895,149.99987185001373,0.0
-31.25,25.0,-31.22962760925293,150.00001539786578,149.9999463558197,0.0
-31.25,30.0,-31.229625701904297,150.00001539786578,149.9999463558197,0.0
-31.25,35.0,-31.229637145996094,150.00005885957518,149.99999105930328,0.0
-31.25,40.0,-31.22962760925293,150.00002781549833,149.9999612569809,0.0
-31.25,45.0,-31.229637145996094,150.0000526507603,149.99999105930328,0.0
-31.25,50.0,-31.22962188720703,150.00002781549833,149.9999612569809,0.0
-30.0,-50.0,-29.979637145996094,150.0000216066822,149.99987185001373,0.0
-30.0,-45.0,-29.979650497436523,149.99992847440922,149.99978244304657,0.0
-30.0,-40.0,-29.97964096069336,150.0000216066822,149.99987185001373,0.0
-30.0,-35.0,-29.979650497436523,149.99991605676846,149.99976754188538,0.0
-30.0,-30.0,-29.979637145996094,150.0000029802322,149.99985694885254,0.0
-30.0,-25.0,-29.979637145996094,149.9999595185066,149.99981224536896,0.0
-30.0,-20.0,-29.979631423950195,150.00006506838974,149.99991655349731,0.0
-30.0,-15.0,-29.979629516601562,150.0000526507603,149.99990165233612,0.0
-30.0,-10.0,-29.979625701904297,150.00006506838974,149.99991655349731,0.0
-30.0,-5.0,-29.979625701904297,150.0000774860182,149.9999314546585,0.0
-30.0,0.0,-29.979633331298828,150.0000774860182,149.9999314546585,0.0
-30.0,5.0,-29.979623794555664,150.0001085300848,149.9999612569809,0.0
-30.0,10.0,-29.979625701904297,150.0001085300848,149.9999612569809,0.0
-30.0,15.0,-29.97962760925293,150.0000961124589,149.9999463558197,0.0
-30.0,20.0,-29.97962760925293,150.0000774860182,149.9999314546585,0.0
-30.0,25.0,-29.979633331298828,150.0000216066822,149.99987185001373,0.0
-30.0,30.0,-29.979629516601562,150.0000029802322,149.99985694885254,0.0
-30.0,35.0,-29.97964096069336,149.999978144962,149.99982714653015,0.0
-30.0,40.0,-29.979633331298828,150.0000216066822,149.99987185001373,0.0
-30.0,45.0,-29.97964096069336,149.9999595185066,149.99981224536896,0.0
-30.0,50.0,-29.979625701904297,150.0000340243142,149.99988675117493,0.0
