nodeLabel,x_mm,y_mm,z_mm,CPRESS_MPa
321,50.0,0.09,17.5,0.0
322,50.0,0.12,17.5,0.0
323,50.0,0.03,20.0,0.0
324,50.0,0.06,20.0,0.0
325,50.0,0.09,20.0,0.0
326,50.0,0.12,20.0,0.0
327,50.0,0.03,22.5,0.0
328,50.0,0.06,22.5,0.0
329,50.0,0.09,22.5,0.0
330,50.0,0.12,22.5,0.0
331,0.0,0.03,15.0,0.0
332,0.0,0.06,15.0,0.0
333,0.0,0.09,15.0,0.0
334,0.0,0.12,15.0,0.0
335,0.0,0.03,17.5,0.0
336,0.0,0.06,17.5,0.0
337,0.0,0.09,17.5,0.0
338,0.0,0.12,17.5,0.0
339,0.0,0.03,20.0,0.0
340,0.0,0.06,20.0,0.0
341,0.0,0.09,20.0,0.0
342,0.0,0.12,20.0,0.0
343,0.0,0.03,22.5,0.0
344,0.0,0.06,22.5,0.0
345,0.0,0.09,22.5,0.0
346,0.0,0.12,22.5,0.0
347,47.5,0.0,15.0,0.0
348,47.5,0.0,17.5,0.0
349,47.5,0.0,20.0,0.0
350,47.5,0.0,22.5,0.0
351,45.0,0.0,15.0,0.0
352,45.0,0.0,17.5,0.0
353,45.0,0.0,20.0,0.0
354,45.0,0.0,22.5,0.0
355,42.5,0.0,15.0,0.0
356,42.5,0.0,17.5,0.0
357,42.5,0.0,20.0,0.0
358,42.5,0.0,22.5,0.0
359,40.0,0.0,15.0,0.0
360,40.0,0.0,17.5,0.0
361,40.0,0.0,20.0,0.0
362,40.0,0.0,22.5,0.0
363,37.5,0.0,15.0,0.0
364,37.5,0.0,17.5,0.0
365,37.5,0.0,20.0,0.0
366,37.5,0.0,22.5,0.0
367,35.0,0.0,15.0,0.0
368,35.0,0.0,17.5,0.0
369,35.0,0.0,20.0,0.0
370,35.0,0.0,22.5,0.0
371,32.5,0.0,15.0,0.0
372,32.5,0.0,17.5,0.0
373,32.5,0.0,20.0,0.0
374,32.5,0.0,22.5,0.0
375,30.0,0.0,15.0,0.0
376,30.0,0.0,17.5,0.0
377,30.0,0.0,20.0,0.0
378,30.0,0.0,22.5,0.0
379,27.5,0.0,15.0,0.0
380,27.5,0.0,17.5,0.0
381,27.5,0.0,20.0,0.0
382,27.5,0.0,22.5,0.0
383,25.0,0.0,15.0,0.0
384,25.0,0.0,17.5,0.0
385,25.0,0.0,20.0,0.0
386,25.0,0.0,22.5,0.0
387,22.5,0.0,15.0,0.0
388,22.5,0.0,17.5,0.0
389,22.5,0.0,20.0,0.0
390,22.5,0.0,22.5,0.0
391,20.0,0.0,15.0,0.0
392,20.0,0.0,17.5,0.0
393,20.0,0.0,20.0,0.0
394,20.0,0.0,22.5,0.0
395,17.5,0.0,15.0,0.0
396,17.5,0.0,17.5,0.0
397,17.5,0.0,20.0,0.0
398,17.5,0.0,22.5,0.0
399,15.0,0.0,15.0,0.0
400,15.0,0.0,17.5,0.0
401,15.0,0.0,20.0,0.0
402,15.0,0.0,22.5,0.0
403,12.5,0.0,15.0,0.0
404,12.5,0.0,17.5,0.0
405,12.5,0.0,20.0,0.0
406,12.5,0.0,22.5,0.0
407,10.0,0.0,15.0,0.0
408,10.0,0.0,17.5,0.0
409,10.0,0.0,20.0,0.0
410,10.0,0.0,22.5,0.0
411,7.5,0.0,15.0,0.0
412,7.5,0.0,17.5,0.0
413,7.5,0.0,20.0,0.0
414,7.5,0.0,22.5,0.0
415,5.0,0.0,15.0,0.0
416,5.0,0.0,17.5,0.0
417,5.0,0.0,20.0,0.0
418,5.0,0.0,22.5,0.0
419,2.5,0.0,15.0,0.0
420,2.5,0.0,17.5,0.0
421,2.5,0.0,20.0,0.0
422,2.5,0.0,22.5,0.0
423,47.5,0.15,15.0,0.0
424,47.5,0.15,17.5,0.0
425,47.5,0.15,20.0,0.0
426,47.5,0.15,22.5,0.0
427,45.0,0.15,15.0,0.0
428,45.0,0.15,17.5,0.0
429,45.0,0.15,20.0,0.0
430,45.0,0.15,22.5,0.0
431,42.5,0.15,15.0,0.0
432,42.5,0.15,17.5,0.0
433,42.5,0.15,20.0,0.0
434,42.5,0.15,22.5,0.0
435,40.0,0.15,15.0,0.0
436,40.0,0.15,17.5,0.0
437,40.0,0.15,20.0,0.0
438,40.0,0.15,22.5,0.0
439,37.5,0.15,15.0,0.0
440,37.5,0.15,17.5,0.0
441,37.5,0.15,20.0,0.0
442,37.5,0.15,22.5,0.0
443,35.0,0.15,15.0,0.0
444,35.0,0.15,17.5,0.0
445,35.0,0.15,20.0,0.0
446,35.0,0.15,22.5,0.0
447,32.5,0.15,15.0,0.0
448,32.5,0.15,17.5,0.0
449,32.5,0.15,20.0,0.0
450,32.5,0.15,22.5,0.0
451,30.0,0.15,15.0,0.0
452,30.0,0.15,17.5,0.0
453,30.0,0.15,20.0,0.0
454,30.0,0.15,22.5,0.0
455,27.5,0.15,15.0,0.0
456,27.5,0.15,17.5,0.0
457,27.5,0.15,20.0,0.0
458,27.5,0.15,22.5,0.0
459,25.0,0.15,15.0,0.0
460,25.0,0.15,17.5,0.0
461,25.0,0.15,20.0,0.0
462,25.0,0.15,22.5,0.0
463,22.5,0.15,15.0,0.0
464,22.5,0.15,17.5,0.0
465,22.5,0.15,20.0,0.0
466,22.5,0.15,22.5,0.0
467,20.0,0.15,15.0,0.0
468,20.0,0.15,17.5,0.0
469,20.0,0.15,20.0,0.0
470,20.0,0.15,22.5,0.0
471,17.5,0.15,15.0,0.0
472,17.5,0.15,17.5,0.0
473,17.5,0.15,20.0,0.0
474,17.5,0.15,22.5,0.0
475,15.0,0.15,15.0,0.0
476,15.0,0.15,17.5,0.0
477,15.0,0.15,20.0,0.0
478,15.0,0.15,22.5,0.0
479,12.5,0.15,15.0,0.0
480,12.5,0.15,17.5,0.0
481,12.5,0.15,20.0,0.0
482,12.5,0.15,22.5,0.0
483,10.0,0.15,15.0,0.0
484,10.0,0.15,17.5,0.0
485,10.0,0.15,20.0,0.0
486,10.0,0.15,22.5,0.0
487,7.5,0.15,15.0,0.0
488,7.5,0.15,17.5,0.0
489,7.5,0.15,20.0,0.0
490,7.5,0.15,22.5,0.0
491,5.0,0.15,15.0,0.0
492,5.0,0.15,17.5,0.0
493,5.0,0.15,20.0,0.0
494,5.0,0.15,22.5,0.0
495,2.5,0.15,15.0,0.0
496,2.5,0.15,17.5,0.0
497,2.5,0.15,20.0,0.0
498,2.5,0.15,22.5,0.0
575,47.5,0.03,25.0,0.0
576,47.5,0.06,25.0,0.0
577,47.5,0.09,25.0,0.0
578,47.5,0.12,25.0,0.0
579,45.0,0.03,25.0,0.0
580,45.0,0.06,25.0,0.0
581,45.0,0.09,25.0,0.0
582,45.0,0.12,25.0,0.0
583,42.5,0.03,25.0,0.0
584,42.5,0.06,25.0,0.0
585,42.5,0.09,25.0,0.0
586,42.5,0.12,25.0,0.0
587,40.0,0.03,25.0,0.0
588,40.0,0.06,25.0,0.0
589,40.0,0.09,25.0,0.0
590,40.0,0.12,25.0,0.0
591,37.5,0.03,25.0,0.0
592,37.5,0.06,25.0,0.0
593,37.5,0.09,25.0,0.0
594,37.5,0.12,25.0,0.0
595,35.0,0.03,25.0,0.0
596,35.0,0.06,25.0,0.0
597,35.0,0.09,25.0,0.0
598,35.0,0.12,25.0,0.0
599,32.5,0.03,25.0,0.0
600,32.5,0.06,25.0,0.0
601,32.5,0.09,25.0,0.0
602,32.5,0.12,25.0,0.0
603,30.0,0.03,25.0,0.0
604,30.0,0.06,25.0,0.0
605,30.0,0.09,25.0,0.0
606,30.0,0.12,25.0,0.0
607,27.5,0.03,25.0,0.0
608,27.5,0.06,25.0,0.0
609,27.5,0.09,25.0,0.0
610,27.5,0.12,25.0,0.0
611,25.0,0.03,25.0,0.0
612,25.0,0.06,25.0,0.0
613,25.0,0.09,25.0,0.0
614,25.0,0.12,25.0,0.0
615,22.5,0.03,25.0,0.0
616,22.5,0.06,25.0,0.0
617,22.5,0.09,25.0,0.0
618,22.5,0.12,25.0,0.0
619,20.0,0.03,25.0,0.0
620,20.0,0.06,25.0,0.0
621,20.0,0.09,25.0,0.0
622,20.0,0.12,25.0,0.0
623,17.5,0.03,25.0,0.0
624,17.5,0.06,25.0,0.0
625,17.5,0.09,25.0,0.0
626,17.5,0.12,25.0,0.0
627,15.0,0.03,25.0,0.0
628,15.0,0.06,25.0,0.0
629,15.0,0.09,25.0,0.0
630,15.0,0.12,25.0,0.0
631,12.5,0.03,25.0,0.0
632,12.5,0.06,25.0,0.0
633,12.5,0.09,25.0,0.0
634,12.5,0.12,25.0,0.0
635,10.0,0.03,25.0,0.0
636,10.0,0.06,25.0,0.0
637,10.0,0.09,25.0,0.0
638,10.0,0.12,25.0,0.0
639,7.5,0.03,25.0,0.0
640,7.5,0.06,25.0,0.0
641,7.5,0.09,25.0,0.0
642,7.5,0.12,25.0,0.0
643,5.0,0.03,25.0,0.0
644,5.0,0.06,25.0,0.0
645,5.0,0.09,25.0,0.0
646,5.0,0.12,25.0,0.0
647,2.5,0.03,25.0,0.0
648,2.5,0.06,25.0,0.0
649,2.5,0.09,25.0,0.0
650,2.5,0.12,25.0,0.0
651,50.0,0.12,4.428571,0.0
652,50.0,0.09,4.428571,0.0
653,50.0,0.06,4.428571,0.0
654,50.0,0.03,4.428571,0.0
655,50.0,0.12,3.857143,0.0
656,50.0,0.09,3.857143,0.0
657,50.0,0.06,3.857143,0.0
658,50.0,0.03,3.857143,0.0
659,50.0,0.12,3.2857144,0.0
660,50.0,0.09,3.2857144,0.0
661,50.0,0.06,3.2857144,0.0
662,50.0,0.03,3.2857144,0.0
663,50.0,0.12,2.7142856,0.0
664,50.0,0.09,2.7142856,0.0
665,50.0,0.06,2.7142856,0.0
666,50.0,0.03,2.7142856,0.0
667,50.0,0.12,2.142857,0.0
668,50.0,0.09,2.142857,0.0
669,50.0,0.06,2.142857,0.0
670,50.0,0.03,2.142857,0.0
671,50.0,0.12,1.5714285,0.0
672,50.0,0.09,1.5714285,0.0
673,50.0,0.06,1.5714285,0.0
674,50.0,0.03,1.5714285,0.0
675,0.0,0.12,4.428571,0.0
676,0.0,0.09,4.428571,0.0
677,0.0,0.06,4.428571,0.0
678,0.0,0.03,4.428571,0.0
679,0.0,0.12,3.857143,0.0
680,0.0,0.09,3.857143,0.0
681,0.0,0.06,3.857143,0.0
682,0.0,0.03,3.857143,0.0
683,0.0,0.12,3.2857144,0.0
684,0.0,0.09,3.2857144,0.0
685,0.0,0.06,3.2857144,0.0
686,0.0,0.03,3.2857144,0.0
687,0.0,0.12,2.7142856,0.0
688,0.0,0.09,2.7142856,0.0
689,0.0,0.06,2.7142856,0.0
690,0.0,0.03,2.7142856,0.0
691,0.0,0.12,2.142857,0.0
692,0.0,0.09,2.142857,0.0
693,0.0,0.06,2.142857,0.0
694,0.0,0.03,2.142857,0.0
695,0.0,0.12,1.5714285,0.0
696,0.0,0.09,1.5714285,0.0
697,0.0,0.06,1.5714285,0.0
698,0.0,0.03,1.5714285,0.0
699,47.5,0.15,4.428571,0.0
700,47.5,0.15,3.857143,0.0
701,47.5,0.15,3.2857144,0.0
702,47.5,0.15,2.7142856,0.0
703,47.5,0.15,2.142857,0.0
704,47.5,0.15,1.5714285,0.0
705,45.0,0.15,4.428571,0.0
706,45.0,0.15,3.857143,0.0
707,45.0,0.15,3.2857144,0.0
708,45.0,0.15,2.7142856,0.0
709,45.0,0.15,2.142857,0.0
710,45.0,0.15,1.5714285,0.0
711,42.5,0.15,4.428571,0.0
712,42.5,0.15,3.857143,0.0
713,42.5,0.15,3.2857144,0.0
714,42.5,0.15,2.7142856,0.0
715,42.5,0.15,2.142857,0.0
716,42.5,0.15,1.5714285,0.0
717,40.0,0.15,4.428571,0.0
718,40.0,0.15,3.857143,0.0
719,40.0,0.15,3.2857144,0.0
720,40.0,0.15,2.7142856,0.0
721,40.0,0.15,2.142857,0.0
722,40.0,0.15,1.5714285,0.0
723,37.5,0.15,4.428571,0.0
724,37.5,0.15,3.857143,0.0
725,37.5,0.15,3.2857144,0.0
726,37.5,0.15,2.7142856,0.0
727,37.5,0.15,2.142857,0.0
728,37.5,0.15,1.5714285,0.0
729,35.0,0.15,4.428571,0.0
730,35.0,0.15,3.857143,0.0
731,35.0,0.15,3.2857144,0.0
732,35.0,0.15,2.7142856,0.0
733,35.0,0.15,2.142857,0.0
734,35.0,0.15,1.5714285,0.0
735,32.5,0.15,4.428571,0.0
736,32.5,0.15,3.857143,0.0
737,32.5,0.15,3.2857144,0.0
738,32.5,0.15,2.7142856,0.0
739,32.5,0.15,2.142857,0.0
740,32.5,0.15,1.5714285,0.0
741,30.0,0.15,4.428571,0.0
742,30.0,0.15,3.857143,0.0
743,30.0,0.15,3.2857144,0.0
744,30.0,0.15,2.7142856,0.0
745,30.0,0.15,2.142857,0.0
746,30.0,0.15,1.5714285,0.0
747,27.5,0.15,4.428571,0.0
748,27.5,0.15,3.857143,0.0
749,27.5,0.15,3.2857144,0.0
750,27.5,0.15,2.7142856,0.0
751,27.5,0.15,2.142857,0.0
752,27.5,0.15,1.5714285,0.0
753,25.0,0.15,4.428571,0.0
754,25.0,0.15,3.857143,0.0
755,25.0,0.15,3.2857144,0.0
756,25.0,0.15,2.7142856,0.0
757,25.0,0.15,2.142857,0.0
758,25.0,0.15,1.5714285,0.0
759,22.5,0.15,4.428571,0.0
760,22.5,0.15,3.857143,0.0
761,22.5,0.15,3.2857144,0.0
762,22.5,0.15,2.7142856,0.0
763,22.5,0.15,2.142857,0.0
764,22.5,0.15,1.5714285,0.0
765,20.0,0.15,4.428571,0.0
766,20.0,0.15,3.857143,0.0
767,20.0,0.15,3.2857144,0.0
768,20.0,0.15,2.7142856,0.0
769,20.0,0.15,2.142857,0.0
770,20.0,0.15,1.5714285,0.0
771,17.5,0.15,4.428571,0.0
772,17.5,0.15,3.857143,0.0
773,17.5,0.15,3.2857144,0.0
774,17.5,0.15,2.7142856,0.0
775,17.5,0.15,2.142857,0.0
776,17.5,0.15,1.5714285,0.0
777,15.0,0.15,4.428571,0.0
778,15.0,0.15,3.857143,0.0
779,15.0,0.15,3.2857144,0.0
780,15.0,0.15,2.7142856,0.0
781,15.0,0.15,2.142857,0.0
782,15.0,0.15,1.5714285,0.0
783,12.5,0.15,4.428571,0.0
784,12.5,0.15,3.857143,0.0
785,12.5,0.15,3.2857144,0.0
786,12.5,0.15,2.7142856,0.0
787,12.5,0.15,2.142857,0.0
788,12.5,0.15,1.5714285,0.0
789,10.0,0.15,4.428571,0.0
790,10.0,0.15,3.857143,0.0
791,10.0,0.15,3.2857144,0.0
792,10.0,0.15,2.7142856,0.0
793,10.0,0.15,2.142857,0.0
794,10.0,0.15,1.5714285,0.0
795,7.5,0.15,4.428571,0.0
796,7.5,0.15,3.857143,0.0
797,7.5,0.15,3.2857144,0.0
798,7.5,0.15,2.7142856,0.0
799,7.5,0.15,2.142857,0.0
800,7.5,0.15,1.5714285,0.0
801,5.0,0.15,4.428571,0.0
802,5.0,0.15,3.857143,0.0
803,5.0,0.15,3.2857144,0.0
804,5.0,0.15,2.7142856,0.0
805,5.0,0.15,2.142857,0.0
806,5.0,0.15,1.5714285,0.0
807,2.5,0.15,4.428571,0.0
808,2.5,0.15,3.857143,0.0
809,2.5,0.15,3.2857144,0.0
810,2.5,0.15,2.7142856,0.0
811,2.5,0.15,2.142857,0.0
812,2.5,0.15,1.5714285,0.0
813,47.5,0.0,4.428571,0.0
814,47.5,0.0,3.857143,0.0
815,47.5,0.0,3.2857144,0.0
816,47.5,0.0,2.7142856,0.0
817,47.5,0.0,2.142857,0.0
818,47.5,0.0,1.5714285,0.0
819,45.0,0.0,4.428571,0.0
820,45.0,0.0,3.857143,0.0
