elementLabel,x_mm,y_mm,z_mm,S_Mises_MPa,S22_MPa,S11_MPa
185,31.25,0.135000001639128,16.25,0.0016338333953172,-9.398604015586898e-05,-0.000560385116841644
186,31.25,0.0149999996647239,18.75,0.00155541207641363,0.00036293527227826416,-0.0003877677954733372
187,31.25,0.0449999989941716,18.75,0.000979550066404045,-6.56738702673465e-05,-0.00012645366950891912
188,31.25,0.0750000011175871,18.75,0.000767078658100218,0.00014499432290904224,-0.00036707246908918023
189,31.25,0.105000000447035,18.75,0.00102424435317516,0.00016757467528805137,-0.0002571625227574259
190,31.25,0.135000001639128,18.75,0.000904745189473033,4.759026342071593e-05,-0.00028909757384099066
191,31.25,0.0149999996647239,21.25,0.00116577686276287,-0.0002035800280282274,-0.0007715545361861587
192,31.25,0.0449999989941716,21.25,0.00114670163020492,0.00016535664326511323,-0.00020694058912340552
193,31.25,0.0750000011175871,21.25,0.000874391873367131,7.741856097709388e-05,0.00013806555944029242
194,31.25,0.105000000447035,21.25,0.000838259526062757,0.00014441803796216846,-0.00010178320371778682
195,31.25,0.135000001639128,21.25,0.000720413692761213,0.00011438472574809566,3.8634516386082396e-05
196,31.25,0.0149999996647239,23.75,0.000911522307433188,0.00014785287203267217,-0.0004040011845063418
197,31.25,0.0449999989941716,23.75,0.000700860575307161,5.865614002686925e-05,-0.00022770700161345303
198,31.25,0.0750000011175871,23.75,0.000592029537074268,0.0001602583797648549,5.752978540840559e-05
199,31.25,0.105000000447035,23.75,0.00066914118360728,0.00011658231233013794,0.00013674177171196789
200,31.25,0.135000001639128,23.75,0.000578882696572691,-5.94194148106908e-07,0.00018993340199813247
201,28.75,0.0149999996647239,13.75,0.00152273301500827,0.0005851262831129134,-0.00046487562940455973
202,28.75,0.0449999989941716,13.75,0.00148852914571762,0.00018563016783446074,0.00010423391358926892
203,28.75,0.0750000011175871,13.75,0.00149491825141013,0.0003326795995235443,-0.0002730386913754046
204,28.75,0.105000000447035,13.75,0.00129147514235228,0.00017689712694846094,9.395145025337115e-05
205,28.75,0.135000001639128,13.75,0.00149758509360254,0.00012242731463629752,-0.00011863074905704707
206,28.75,0.0149999996647239,16.25,0.00186278787441552,-0.00042072433279827237,-0.0010886150412261486
207,28.75,0.0449999989941716,16.25,0.00131936476100236,8.069660543696955e-05,-0.0006745537393726408
208,28.75,0.0750000011175871,16.25,0.00135312438942492,-0.00011815411562565714,-0.00044166058069095016
209,28.75,0.105000000447035,16.25,0.00149643560871482,-0.00019138782226946205,-0.0006180629716254771
210,28.75,0.135000001639128,16.25,0.00154116284102201,0.0001237140386365354,-0.0005359412753023207
211,28.75,0.0149999996647239,18.75,0.00198413198813796,0.00023253998369909823,-0.000358432560460642
212,28.75,0.0449999989941716,18.75,0.00152015476487577,-0.0001729103096295148,-0.00012984068598598242
213,28.75,0.0750000011175871,18.75,0.00156316184438765,-0.0002053707285085693,-7.61845221859403e-05
214,28.75,0.105000000447035,18.75,0.00139587675221264,-0.00013664014113601297,-3.484361513983458e-05
215,28.75,0.135000001639128,18.75,0.00185611366759986,-0.0003038346767425537,-0.0002986645558848977
216,28.75,0.0149999996647239,21.25,0.00166545936372131,-0.0002633281983435154,-0.00080972007708624
217,28.75,0.0449999989941716,21.25,0.00171005434822291,-1.4558645489159971e-05,-0.00029462247039191425
218,28.75,0.0750000011175871,21.25,0.00165904243476689,-5.920324838371016e-05,-5.422910544439219e-05
219,28.75,0.105000000447035,21.25,0.00161282287444919,-0.00025327992625534534,0.00010966398258460686
220,28.75,0.135000001639128,21.25,0.00171627150848508,0.00010233490320388228,0.00010987238783854991
221,28.75,0.0149999996647239,23.75,0.00168628513347358,3.767392990994267e-05,-0.0008992284419946373
222,28.75,0.0449999989941716,23.75,0.00158670486416668,-0.00011580840509850532,-0.00035093113547191024
223,28.75,0.0750000011175871,23.75,0.00148560886736959,-0.00018063811876345426,-1.8625023585627787e-05
224,28.75,0.105000000447035,23.75,0.00136853789445013,-8.87514470377937e-05,0.00018021583673544228
225,28.75,0.135000001639128,23.75,0.00146017584484071,-8.949228504206985e-05,0.00045903067803010345
226,26.25,0.0149999996647239,13.75,0.00113217905163765,0.0006845775060355663,0.0007143615512177348
