"Z_distance_from_center_mm","initial_thickness_um","D850_R425_hold_thickness_um","D900_R450_hold_thickness_um","D950_R475_hold_thickness_um","D850_minus_D900_um","D950_minus_D900_um"
"4.5","150","146.8176395","146.890685","146.9604522","-0.0730454999999779","0.0697672000000011"
"5","150","146.8175352","146.8905658","146.9603479","-0.0730305999999814","0.0697820999999976"
"5.5","150","146.817416","146.8904614","146.9602436","-0.0730453999999838","0.0697822000000201"
"6","150","146.8172967","146.8903422","146.9601393","-0.0730454999999779","0.0697971000000166"
"6.5","150","146.8171328","146.8901932","146.9600052","-0.0730604000000028","0.0698120000000131"
"7","150","146.8169689","146.8900293","146.9598562","-0.0730604000000028","0.0698268999999812"
"7.5","150","146.816805","146.8898803","146.9597071","-0.0730752999999993","0.0698268000000155"
"8","150","146.8166411","146.8897164","146.9595581","-0.0730752999999993","0.069841700000012"
"8.5","150","146.8164325","146.8895078","146.9593644","-0.0730752999999993","0.0698566000000085"
"9","150","146.816209","146.8892992","146.9591707","-0.0730902000000242","0.0698714999999765"
"9.5","150","146.8160003","146.8890905","146.9589919","-0.0730901999999958","0.069901399999992"
"10","150","146.8157768","146.8888819","146.9587982","-0.0731050999999923","0.0699162999999885"
"10.5","150","146.8155086","146.8886286","146.9585598","-0.0731200000000172","0.069931199999985"
"11","150","146.8152404","146.8883604","146.9583213","-0.0731200000000172","0.0699608999999839"
"11.5","150","146.8149722","146.8881071","146.9580829","-0.0731349000000137","0.0699757999999804"
"12","150","146.8147039","146.8878388","146.9578296","-0.0731348999999852","0.0699907999999994"
"12.5","150","146.8143761","146.8875259","146.9575465","-0.0731498000000101","0.0700205999999923"
"13","150","146.8140632","146.8871981","146.9572634","-0.0731349000000137","0.0700652999999818"
"13.5","150","146.8137354","146.8868852","146.9569653","-0.0731497999999817","0.0700801000000126"
"14","150","146.8134075","146.8865573","146.9566673","-0.0731497999999817","0.0701099999999997"
"14.5","150","146.8130201","146.8861848","146.9563246","-0.0731647000000066","0.0701397999999926"
"15","150","146.8126327","146.8857974","146.9559819","-0.0731647000000066","0.0701845000000105"
"15.5","150","146.8122303","146.88541","146.9556242","-0.0731796999999972","0.070214199999981"
"16","150","146.8118429","146.8850225","146.9552815","-0.0731796000000031","0.0702590000000214"
"16.5","150","146.811381","146.8845904","146.9548643","-0.0732093999999961","0.0702738999999895"
"17","150","146.8109339","146.8841434","146.9544619","-0.0732094999999902","0.0703185000000133"
"17.5","150","146.810472","146.8836963","146.9540447","-0.0732242999999926","0.0703484000000003"
"18","150","146.8100101","146.8832493","146.9536424","-0.0732391999999891","0.0703931000000182"
"18.5","150","146.8094736","146.8827277","146.9531506","-0.073254100000014","0.0704228999999827"
"19","150","146.8089223","146.8822062","146.9526738","-0.073283900000007","0.0704676000000006"
"19.5","150","146.8083858","146.8816847","146.9521821","-0.0732988999999975","0.0704973999999936"
