x0_mm,z0_mm,x_final_mid_mm,final_thickness_mm,min_thickness_during_rolling_mm,min_time_in_rolling_s,rebound_final_minus_min_mm,rebound_pct_of_min_compression,final_reduction_pct,min_reduction_pct,final_le_target_0p135,top_node,bottom_node
-1.30769229,44.99999619,-1.14096653,0.132928774,0.132928774,0.150000006,0.000000000,0.000000,11.380821,11.380821,1,836,1304
-1.30769229,47.50000000,-1.14096773,0.132925898,0.132925898,0.150000006,0.000000000,0.000000,11.382739,11.382739,1,835,1303
-1.30769229,50.00000000,-1.14096797,0.132924139,0.132924139,0.150000006,0.000000000,0.000000,11.383910,11.383910,1,130,221
-1.00000000,-50.00000000,-0.78336585,0.130383670,0.130383670,0.150000006,0.000000000,0.000000,13.077557,13.077557,1,2,5
-1.00000000,-47.50000000,-0.78336561,0.130387262,0.130387262,0.150000006,0.000000000,0.000000,13.075162,13.075162,1,67,131
-1.00000000,-44.99999619,-0.78336465,0.130394682,0.130394682,0.150000006,0.000000000,0.000000,13.070215,13.070215,1,66,132
-1.00000000,-42.50000000,-0.78336275,0.130400002,0.130400002,0.150000006,0.000000000,0.000000,13.066669,13.066669,1,65,133
-1.00000000,-40.00000000,-0.78335994,0.130404174,0.130404174,0.150000006,0.000000000,0.000000,13.063887,13.063887,1,64,134
-1.00000000,-37.50000000,-0.78335643,0.130404770,0.130404770,0.150000006,0.000000000,0.000000,13.063490,13.063490,1,63,135
-1.00000000,-35.00000000,-0.78335220,0.130405068,0.130405068,0.150000006,0.000000000,0.000000,13.063291,13.063291,1,62,136
-1.00000000,-32.50000000,-0.78334826,0.130406022,0.130406022,0.150000006,0.000000000,0.000000,13.062656,13.062656,1,61,137
-1.00000000,-30.00000000,-0.78334445,0.130405918,0.130405918,0.150000006,0.000000000,0.000000,13.062724,13.062724,1,60,138
-1.00000000,-27.50000191,-0.78334057,0.130405575,0.130405575,0.150000006,0.000000000,0.000000,13.062954,13.062954,1,59,139
-1.00000000,-25.00000000,-0.78333676,0.130405039,0.130405039,0.150000006,0.000000000,0.000000,13.063312,13.063312,1,58,140
-1.00000000,-22.49999809,-0.78333354,0.130404398,0.130404398,0.150000006,0.000000000,0.000000,13.063738,13.063738,1,57,141
-1.00000000,-20.00000000,-0.78333110,0.130404711,0.130404711,0.150000006,0.000000000,0.000000,13.063529,13.063529,1,56,142
-1.00000000,-17.50000000,-0.78332973,0.130405277,0.130405277,0.150000006,0.000000000,0.000000,13.063152,13.063152,1,55,143
-1.00000000,-15.00000000,-0.78332919,0.130405918,0.130405918,0.150000006,0.000000000,0.000000,13.062724,13.062724,1,54,144
